uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
293,5.10E+11,Heritage High School,5102640,Newport News City Pblc Schs,9/20/2021,2021-2022,2021,11:39 AM,Monday,Newport News,Virginia,public,1173,0,2,2,targeted,15,m,unknown,unknown,,unknown,77,971,82,7,2,0,unknown,unknown,37.0063,-76.4272,77.34,9,12,862,Newport News City,51,51700,12,dem,38,8638218
294,2.80E+11,Newton County Elementary School,2803150,Newton County School District,9/30/2021,2021-2022,2021,1:45 PM,Thursday,Decatur,Mississippi,public,787,0,1,1,accidental,0,m,unknown,student,,unknown,568,167,14,10,22,0,handgun,boyfriend of child's mother,32.446371,-89.105538,60,PK,5,449,Newton County,28,28101,42,rep,18,2961536
295,4.70E+11,Cummings K-8 Optional School,4700148,Shelby County,9/30/2021,2021-2022,2021,10:00 AM,Thursday,Memphis,Tennessee,public,495,0,1,1,unclear,13,m,unknown,unknown,,unknown,1,488,0,0,0,0,unknown,unknown,35.1189,-90.0283,29.3,PK,8,,Shelby County,47,47157,11,rep,16,7001803
296,4.80E+11,YES Prep Southwest Secondary,4800209,Yes Prep Public Schools Inc,10/1/2021,2021-2022,2021,11:45 AM,Friday,Houston,Texas,public,1010,0,1,1,unclear,25,m,unknown,unknown,,unknown,4,53,951,1,1,0,unknown,unknown,29.605766,-95.44306,61.51,6,12,922,Harris County,48,48201,21,rep,10,29730311
297,4.83E+11,Timberview High School,4828920,Mansfield Isd,10/6/2021,2021-2022,2021,9:15 AM,Wednesday,Arlington,Texas,public,1900,0,4,4,targeted,18,m,b,student,,unknown,44,69,74,21,0,0,handgun,unknown,32.622073,-97.076321,11.22,9,11,120,Tarrant County,48,48439,11,rep,10,29730311
298,1.71E+11,Wendell Phillips Academy High School,1709930,City Of Chicago Sd 299,10/12/2021,2021-2022,2021,3:15 PM,Tuesday,Chicago,Illinois,public,599,0,2,2,unclear,0,,unknown,unknown,,unknown,1,582,9,0,1,0,unknown,unknown,41.8244,-87.6199,47,9,12,576,Cook County,17,17031,11,dem,29,12569321
299,50900000607,Little Rock Central High School,509000,Little Rock School District,10/12/2021,2021-2022,2021,11:27 AM,Tuesday,Little Rock,Arkansas,public,2430,0,0,0,unclear,0,,unknown,unknown,,unknown,785,1254,155,201,18,0,unknown,unknown,34.736827,-92.298954,167.63,9,12,1188,Pulaski County,5,5119,12,rep,25,3042017
300,1.71E+11,James McDade Classical School,1709930,City Of Chicago Sd 299,10/13/2021,2021-2022,2021,8:38 AM,Wednesday,Chicago,Illinois,public,176,0,0,0,targeted,0,,unknown,unknown,,unknown,2,162,1,4,0,0,unknown,unknown,41.7344,-87.6188,10,KG,6,47,Cook County,17,17031,11,dem,29,12569321
301,734676,Cathedral School,,,10/26/2021,2021-2022,2021,9:20 AM,Tuesday,Natchez,Mississippi,private,665,0,0,0,unclear,0,,unknown,unknown,,unknown,499,82,9,2,0,0,unknown,unknown,31.562163,-91.394805,52.5,PK,12,,Adams County,28,28001,33,rep,18,2961536
306,3.62E+11,Poughkeepsie High School,3623760,Poughkeepsie City School District,11/15/2021,2021-2022,2021,3:15 PM,Monday,Poughkeepsie,New York,public,1153,0,0,0,unclear,13,m,unknown,student,,unknown,72,612,413,7,3,0,.38-caliber handgun,unknown,41.6948,-73.9138,102.83,9,12,865,Dutchess County,36,36027,13,dem,50,19299981
307,3.60E+11,P.S. 44,3600090,New York City Geographic District #12,11/16/2021,2021-2022,2021,2:15 PM,Tuesday,Bronx,New York,public,263,0,0,0,unclear,45,m,unknown,unknown,,unknown,4,83,174,0,1,0,handgun,unknown,40.8425,-73.891,25,PK,5,258,Bronx County,36,36005,11,dem,50,19299981
302,80234000064,Hinkley High School,802340,Aurora Joint District NO. 28 Of The Counties Of Adams And Arapahoe,11/19/2021,2021-2022,2021,12:00 PM,Friday,Aurora,Colorado,public,2091,0,3,3,targeted,16,,unknown,student,,unknown,117,290,1513,81,18,1,unknown,unknown,39.7349,-104.8086,107.93,9,12,1726,Arapahoe County,8,8005,11,dem,39,5961083
308,1.74E+11,Thornton Township High School,1738970,Thornton Twp Hsd 205,11/24/2021,2021-2022,2021,3:00 PM,Wednesday,Harvey,Illinois,public,1569,0,0,0,targeted,0,,unknown,unknown,,unknown,3,1126,406,24,4,0,unknown,unknown,41.61606,-87.643734,116,9,12,992,Cook County,17,17031,21,dem,29,12569321
303,40633001882,Cesar Chavez High School,406330,Phoenix Union High School District (4286),11/29/2021,2021-2022,2021,3:00 PM,Monday,Laveen,Arizona,public,2590,0,1,1,targeted,15,m,unknown,student,,unknown,115,396,1816,53,129,0,unknown,unknown,33.3757,-112.1463,123.4,9,12,1605,Maricopa County,4,4013,11,dem,2,7640796
304,2.63E+11,Oxford High School,2627240,Oxford Community Schools,11/30/2021,2021-2022,2021,12:50 PM,Tuesday,Oxford,Michigan,public,1872,4,7,11,indiscriminate,15,m,unknown,student,0,unknown,1549,53,186,30,1,0,9mm handgun,parent,42.838243,-83.260782,81.8,9,12,451,Oakland County,26,26125,21,dem,20,9992427
309,4.83E+11,Sam Rayburn High School,4834320,Pasadena Isd,12/1/2021,2021-2022,2021,11:00 AM,Wednesday,Pasadena,Texas,public,2724,0,0,0,targeted,21,m,unknown,unknown,,unknown,130,84,2482,10,4,0,unknown,unknown,29.678303,-95.182324,175.78,9,12,2210,Harris County,48,48201,21,rep,10,29730311
310,3.60E+11,Great Oaks Charter School,3601085,Great Oaks Charter School,12/9/2021,2021-2022,2021,9:30 AM,Thursday,New York,New York,public,299,0,0,0,unclear,0,,unknown,unknown,,unknown,9,92,179,11,2,0,unknown,unknown,40.719909,-73.991729,0,6,8,,New York County,36,36061,11,dem,50,19299981
311,3.70E+11,Jesse C. Carson High School,3704050,Rowan-salisbury Schools,12/9/2021,2021-2022,2021,2:00 PM,Thursday,China Grove,North Carolina,public,1245,0,0,0,accidental,0,,unknown,unknown,,unknown,933,48,205,6,3,0,unknown,unknown,35.563,-80.5457,71.24,9,12,461,Rowan County,37,37159,41,rep,32,10701022
312,3.70E+11,West Charlotte High School,3702970,Charlotte-mecklenburg Schools,12/13/2021,2021-2022,2021,2:15 PM,Monday,Charlotte,North Carolina,public,1376,0,0,0,targeted,0,,unknown,student,,unknown,18,1058,187,35,2,0,unknown,unknown,35.2654,-80.8585,90.6,9,12,1372,Mecklenburg County,37,37119,11,rep,32,10701022
313,4.50E+11,Eau Claire High School,4503360,Richland 01,12/16/2021,2021-2022,2021,3:00 PM,Thursday,Columbia,South Carolina,public,510,0,0,0,targeted,15,m,unknown,student,,unknown,6,440,46,0,0,0,unknown,unknown,34.048231,-81.040984,50,9,12,510,Richland County,45,45079,12,rep,36,5342388
314,1.73E+11,Auburn High School,1734510,Rockford Sd 205,1/4/2022,2021-2022,2022,1:10 PM,Tuesday,Rockford,Illinois,public,1807,0,2,2,targeted,16,m,b,unknown,,unknown,498,770,331,75,4,0,9mm handgun,unknown,42.286784,-89.137895,101.1,9,12,1105,Winnebago County,17,17201,12,dem,29,12569321
315,1.20E+11,Seminole High School,1201710,Seminole,1/19/2022,2021-2022,2022,12:00 PM,Wednesday,Sanford,Florida,public,4062,0,1,1,targeted,16,m,b,student,,unknown,1377,1134,975,385,14,0,9mm handgun,unknown,28.7793,-81.283,149.07,9,12,2032,Seminole County,12,12117,13,rep,30,21944577
317,4.22E+11,Oliver Citywide Academy,4219170,Pittsburgh Sd,1/19/2022,2021-2022,2022,1:45 PM,Wednesday,Pittsburgh,Pennsylvania,public,105,1,0,1,targeted,0,,unknown,unknown,,unknown,9,85,0,0,0,0,unknown,unknown,40.464327,-80.024121,22.63,3,12,86,Allegheny County,42,42003,11,dem,28,12804123
316,2.40E+11,Magruder High School,2400480,Montgomery County Public Schools,1/21/2022,2021-2022,2022,1:00 PM,Friday,Rockville,Maryland,public,1697,0,1,1,targeted,17,m,unknown,student,,unknown,436,302,671,210,3,0,unknown,unknown,39.1313,-77.1183,101.8,9,12,545,Montgomery County,24,24031,41,dem,43,6075314
323,2.70E+11,South Education Center,2700025,Intermediate School District 287,2/1/2022,2021-2022,2022,12:07 PM,Tuesday,Richfield,Minnesota,public,71,1,1,2,targeted,19,m,h,student,,unknown,15,17,27,2,1,0,unknown,unknown,44.868045,-93.310844,8.2,PK,12,47,Hennepin County,27,27053,21,dem,33,5739781
335,3.62E+11,Mount Vernon High School,3620100,Mount Vernon City School District,2/8/2022,2021-2022,2022,2:00 PM,Tuesday,Mount Vernon,New York,public,1302,0,0,0,unclear,0,,unknown,unknown,,unknown,45,974,262,11,6,0,unknown,unknown,40.9258,-73.8151,79.74,9,12,,Westchester County,36,36119,21,dem,50,19299981
324,80615001357,Liberty Point International School,806150,Pueblo County School District 70,2/22/2022,2021-2022,2022,3:30 PM,Tuesday,Pueblo West,Colorado,public,536,1,0,1,targeted,0,,unknown,police officer,,unknown,256,4,227,0,4,0,service weapon ,unknown,38.3173,-104.7291,26,6,8,319,Pueblo County,8,8101,22,dem,39,5961083
336,1.30E+11,Jonesboro High School,1301230,Clayton County School District,2/28/2022,2021-2022,2022,unknown,Monday,Clayton County,Georgia,public,1383,0,0,0,unclear,0,,unknown,student,,unknown,44,923,313,48,6,0,Loaded handgun,unknown,33.5427,-84.3428,75.3,9,12,1286,Clayton County,13,13063,21,dem,23,10830007
318,2.01E+11,Olathe East High School,2010140,Olathe School District ,3/4/2022,2021-2022,2022,10:30 AM,Friday,Olathe,Kansas,public,1957,0,2,2,targeted,18,m,b,student,,unknown,1264,209,280,102,7,0,unknown,unknown,38.8959,-94.7539,117.3,9,12,482,Johnson County,20,20091,21,rep,8,2919179
319,1.91E+11,East High School,1908970,Des Moines Public Schools,3/7/2022,2021-2022,2022,3:00 PM,Monday,Des Moines,Iowa,public,2204,1,2,3,indiscriminate,0,,unknown,unknown,,unknown,644,339,922,158,10,0,unknown,unknown,41.5969,-93.600681,97.1,9,12,1815,Polk County,19,19153,12,rep,26,3174426
320,1.20E+11,North Gardens High School,1200390,Miami-Dade School District,3/9/2022,2021-2022,2022,1:30 PM,Wednesday,Miami Gardens,Florida,public,335,0,3,3,indiscriminate,17,m,unknown,unknown,,unknown,11,138,183,0,0,0,Glock,unknown,25.938839,-80.276769,0,9,12,140,Miami-dade County,12,12086,21,rep,30,21944577
325,63255005018,De Anza High School,632550,West Contra Costa Unified,3/11/2022,2021-2022,2022,unknown,Friday,Richmond,California,public,1380,0,1,1,targeted,0,,unknown,student,,unknown,106,308,665,243,4,0,unknown,unknown,37.969409,-122.288035,62.89,9,12,1063,Contra Costa County,6,6013,21,dem,48,39613493
326,5.31E+11,Eisenhower High School,5310110,Yakima School District,3/15/2022,2021-2022,2022,3:00 PM,Tuesday,Yakima,Washington,public,1908,1,0,1,targeted,15,m,unknown,student,,unknown,447,11,1372,12,21,0,unknown,unknown,46.591635,-120.565796,97.97,9,12,1333,Yakima County,53,53077,13,dem,42,7887965
339,3.80E+11,Mott-Regent School,3800046,Mott-regent 1,3/21/2022,2021-2022,2022,unknown,Wednesday,Hettinger County,North Dakota,public,98,1,0,1,unclear,0,m,unknown,police officer,,unknown,87,2,3,0,5,0,service pistol,unknown,46.372185,-102.318612,15.5,7,12,43,Hettinger County,38,38041,43,rep,14,774008
329,5.10E+11,Rippon Middle School,5103130,Prince William Co Pblc Schs,3/22/2022,2021-2022,2022,11:00 AM,Thursday,Woodbridge,Virginia,public,1371,0,0,0,indiscriminate,20,m,b,unknown,,unknown,127,519,498,140,2,0,rifle and shotgun,unknown,38.6226,-77.2671,82.67,6,7,,Prince William County,51,51153,21,dem,38,8638218
337,3.20E+11,Western High School,3200060,Clark County School District,3/29/2022,2021-2022,2022,2:15 PM,Tuesday,Las Vegas,Nevada,public,2732,0,2,0,targeted,0,,unknown,school police officer,,unknown,155,451,1969,49,1,0,unknown,unknown,36.176163,-115.202879,103,9,12,2732,Clark County,32,32003,11,dem,19,3238601
321,4.50E+11,Tanglewood Middle,4502310,Greenville County School District ,3/31/2022,2021-2022,2022,12:26 PM,Thursday,Greenville,South Carolina,public,868,1,0,1,targeted,12,m,unknown,student,,unknown,105,351,379,0,4,0,handgun,unknown,34.824083,-82.46882,45,6,8,868,Greenville County,45,45045,41,rep,36,5342388
333,2.80E+11,West Philadelphia Achievement Charter Elementary School,2803600,Philadelphia Public School Dis,3/31/2022,2021-2022,2022,9:00 AM,Thursday,Philadelphia,Pennsylvania,public,470,0,0,0,accidental,8,m,unknown,student,,unknown,60,382,6,10,8,0,unknown,unknown,32.780532,-89.105653,36.2,PK,6,470,Neshoba County,28,28099,33,dem,28,12804123
322,4.21E+11,Erie High School,4209300,Erie City Shool District ,4/5/2022,2021-2022,2022,9:20 AM,Tuesday,Erie,Pennsylvania,public,2267,0,1,1,targeted,14,m,unknown,student,,unknown,803,912,317,111,4,0,9mm handgun,unknown,42.101896,-80.082293,153.25,9,12,2264,Erie County,42,42049,13,dem,28,12804123
332,3.90E+11,Lowellville Junior/Senior High School,3904833,Lowellville Local,4/5/2022,2021-2022,2022,10:00 AM,Thursday,Lowellville,Ohio,public,219,0,0,0,public suicide,0,,unknown,student,,unknown,191,9,15,0,0,0,unknown,unknown,41.044822,-80.552325,18.46,7,12,,Mahoning County,39,39099,21,rep,31,11714618
334,50002600867,Pine Bluff High School,500026,Pine Bluff School District,4/11/2022,2021-2022,2022,2:45 PM,Monday,Pine Bluff,Arkansas,public,892,0,0,0,unclear,0,m,unknown,unknown,,unknown,21,851,16,1,0,0,unknown,unknown,34.219096,-92.010781,58.17,9,12,892,Jefferson County,5,5069,13,rep,25,3042017
340,,Edmund Burke School,,,4/22/2022,2021-2022,2022,3:18 PM,Friday,Washington,District of Columbia,private,300,0,4,4,indiscriminate,23,m,unknown,unknown,,unknown,,,,,,0,sniper rifle,unknown,38.94304098,-77.06209293,0,6,12,,District of Columbia,11,11001,11,dem,51,718355
338,2.63E+11,Aspen Ridge Elementary School,2625400,Nice Community School District,4/26/2022,2021-2022,2022,1:30 PM,Tuesday,West Ishpeming,Michigan,public,753,0,0,0,public suicide,0,m,unknown,student,,unknown,706,3,6,5,12,0,unknown,unknown,46.4805,-87.7289,50.95,KG,8,264,Marquette County,26,26103,41,dem,20,9992427
328,1.71E+11,Walt Disney Magnet School,1709930,City Of Chicago Sd 299,5/17/2022,2021-2022,2022,10:00 AM,Tuesday,Chicago,Illinois,public,1536,0,1,1,accidental,8,m,unknown,student,,unknown,231,738,317,177,9,0,unknown,unknown,41.9568,-87.6469,0,PK,8,,Cook County,17,17031,11,dem,29,12569321
327,4.84E+11,Robb Elementary School,4843720,Uvalde CISD,5/24/2022,2021-2022,2022,unknown,Tuesday,Uvalde,Texas,public,538,21,0,21,indiscriminate,18,m,h,unknown,,unknown,,,,,,0,unknown,unknown,29.199304,-99.78812,34.53,3,4,438,Uvalde County,48,48463,33,rep,10,29730311
